,cluster,title
0,5,Afghanistan
1,11,Afrique du Sud
2,8,Albanie
3,6,Algérie
4,12,Allemagne
5,9,Angola
6,7,Antigua-et-Barbuda
7,9,Arabie saoudite
8,11,Argentine
9,8,Arménie
10,10,Australie
11,10,Autriche
12,6,Azerbaïdjan
13,7,Bahamas
14,6,Bangladesh
15,11,Barbade
16,3,Belgique
17,11,Belize
18,11,Bolivie (État plurinational de)
19,6,Bosnie-Herzégovine
20,8,Botswana
21,1,Brésil
22,12,Bulgarie
23,5,Burkina Faso
24,12,Bélarus
25,9,Bénin
26,8,Cabo Verde
27,6,Cambodge
28,5,Cameroun
29,10,Canada
30,11,Chili
31,4,Chine - RAS de Hong-Kong
32,7,Chine - RAS de Macao
"33,11,""Chine, Taiwan Province de"""
"34,2,""Chine, continentale"""
35,12,Chypre
36,6,Colombie
37,9,Congo
38,11,Costa Rica
39,12,Croatie
40,8,Cuba
41,5,Côte d'Ivoire
42,10,Danemark
43,8,Djibouti
44,7,Dominique
45,6,El Salvador
46,12,Espagne
47,12,Estonie
48,6,Eswatini
49,11,Fidji
50,10,Finlande
51,12,France
52,6,Fédération de Russie
53,9,Gabon
54,9,Gambie
55,8,Ghana
56,7,Grenade
57,12,Grèce
58,11,Guatemala
59,8,Guinée
60,5,Guinée-Bissau
61,11,Guyana
62,8,Géorgie
63,8,Haïti
64,11,Honduras
65,12,Hongrie
66,2,Inde
67,6,Indonésie
68,6,Iran (République islamique d')
69,5,Iraq
70,10,Irlande
71,10,Islande
72,10,Israël
73,12,Italie
74,11,Jamaïque
75,12,Japon
76,9,Jordanie
77,8,Kazakhstan
78,5,Kenya
79,8,Kirghizistan
80,8,Kiribati
81,9,Koweït
82,8,Lesotho
83,12,Lettonie
84,5,Liban
85,9,Libéria
86,12,Lituanie
87,10,Luxembourg
88,8,Macédoine du Nord
89,5,Madagascar
90,11,Malaisie
91,5,Malawi
92,9,Maldives
93,5,Mali
94,12,Malte
95,11,Maroc
96,11,Maurice
97,9,Mauritanie
98,6,Mexique
99,8,Mongolie
100,8,Monténégro
101,5,Mozambique
102,6,Myanmar
103,8,Namibie
104,6,Nicaragua
105,5,Niger
106,6,Nigéria
107,10,Norvège
108,7,Nouvelle-Calédonie
109,10,Nouvelle-Zélande
110,6,Népal
111,9,Oman
112,5,Ouganda
113,8,Ouzbékistan
114,6,Pakistan
115,11,Panama
116,6,Paraguay
117,3,Pays-Bas
118,6,Philippines
119,12,Pologne
120,7,Polynésie française
121,11,Portugal
122,6,Pérou
123,12,Roumanie
124,12,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord
125,5,Rwanda
126,6,République centrafricaine
127,12,République de Corée
128,6,République de Moldova
129,11,République dominicaine
130,8,République démocratique populaire lao
131,6,République populaire démocratique de Corée
132,5,République-Unie de Tanzanie
133,7,Saint-Kitts-et-Nevis
134,7,Saint-Vincent-et-les Grenadines
135,7,Sainte-Lucie
136,7,Samoa
137,8,Sao Tomé-et-Principe
138,6,Serbie
139,5,Sierra Leone
140,12,Slovaquie
141,12,Slovénie
142,6,Soudan
143,6,Sri Lanka
144,10,Suisse
145,8,Suriname
146,10,Suède
147,5,Sénégal
148,8,Tadjikistan
149,5,Tchad
150,12,Tchéquie
151,12,Thaïlande
152,9,Timor-Leste
153,5,Togo
154,11,Trinité-et-Tobago
155,6,Tunisie
156,6,Turkménistan
157,6,Turquie
158,6,Ukraine
159,12,Uruguay
160,8,Vanuatu
161,6,Venezuela (République bolivarienne du)
162,6,Viet Nam
163,5,Yémen
164,5,Zambie
165,6,Zimbabwe
166,6,Égypte
167,9,Émirats arabes unis
168,11,Équateur
169,1,États-Unis d'Amérique
170,5,Éthiopie
171,9,Îles Salomon
